id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-35,Colonia 14,Rio Chico,-27.494672,-65.707126,152,1.477000,102.911000,"Colonia 14, Rio Chico, Tucuman, Argentina",colonia-14,"Colonia 14, Municipio de Santa Ana, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-36,Colonia 17,Rio Chico,-27.467564,-65.720269,328,1.699000,193.055000,"Colonia 17, Rio Chico, Tucuman, Argentina",colonia-17,"Colonia 17, Municipio de Santa Ana, Departamento Río Chico, Tucumán, T4153, Argentina"
loc-37,Colonia Mayo (- Barrio La Milagrosa),Cruz Alta,-26.834846,-64.989334,1181,3.828000,308.516000,"Colonia Mayo (- Barrio La Milagrosa), Cruz Alta, Tucuman, Argentina",colonia-mayo,"Colonia Mayo - Barrio La Milagrosa, Municipio de Los Pérez, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-38,Concepcion,Chicligasta,-27.345925,-65.592722,55913,12.730000,4392.223000,"Concepcion, Chicligasta, Tucuman, Argentina",concepcion,"Municipio de Concepción, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-39,Cruce Rio Colorado,Leales,-27.118782,-65.339427,263,5.071000,51.864000,"Cruce Rio Colorado, Leales, Tucuman, Argentina",cruce-rio-colorado,"Cruce Rio Colorado, Municipio de Río Colorado, Departamento Leales, Tucumán, T4113, Argentina"
loc-40,Delfin Gallo,Cruz Alta,-26.843505,-65.093275,10613,2.652000,4001.885000,"Delfin Gallo, Cruz Alta, Tucuman, Argentina",delfin-gallo,"Municipio de Delfín Gallo, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-41,Domingo Millan,La Cocha,-27.639232,-65.596127,552,1.759000,313.815000,"Domingo Millan, La Cocha, Tucuman, Argentina",domingo-millan,"Domingo Millán, Municipio de El Sacrificio, Departamento La Cocha, Tucumán, Argentina"
loc-42,El Bracho,Cruz Alta,-26.990782,-65.181311,970,6.517000,148.841000,"El Bracho, Cruz Alta, Tucuman, Argentina",el-bracho,"Municipio de El Bracho y El Cavilar, Departamento Cruz Alta, Tucumán, T4178, Argentina"
loc-43,El Cadillal,Tafi Viejo,-26.629775,-65.200434,277,8.794000,31.499000,"El Cadillal, Tafi Viejo, Tucuman, Argentina",el-cadillal,"Municipio de El Cadillal, Departamento Tafí Viejo, Tucumán, T4103, Argentina"
loc-44,El Cajon,Burruyacu,-26.503342,-64.874649,317,7.866000,40.300000,"El Cajon, Burruyacu, Tucuman, Argentina",el-cajon,"El Cajón, Municipio de Benjamín Aráoz y El Tajamar, Departamento Burruyacú, Tucumán, T4119, Argentina"
