Nombre;Departamento;Poblacion Censo 1991-05-15;Poblacion Censo 2001-11-17;Poblacion Censo 2010-10-27;Poblacion Censo 2022-05-18;% CT ano a ano (1991-2022);Superficie en km2;Densidad de poblacion km2
Raco;Tafi Viejo;...;...;...;1754;0;12.62;138.986
Ranchillos;Cruz Alta;4456;5758;6892;8844;0.031765796027103714;2.104;4203.422
Rio Chico;Rio Chico;...;680;758;901;#VALUE!;3.727;241.749
Rio Colorado;Leales;932;1029;1077;2287;-0.03217890765609857;1.4;1633.571
Rio Nio;Burruyacu;...;...;...;521;0;2.421;215.200
Rio Seco;Monteros;4039;4785;5131;7401;0.02685110495251939;2.945;2513.073
Rumi Punco;La Cocha;...;...;...;1177;0;1.535;766.775
San Andres;Cruz Alta;...;928;3153;9293;#VALUE!;5.038;1844.581
San Gabriel;Famailla;...;...;...;446;0;5.271;84.614
San Isidro de Lules (Lules);Lules;14195;17878;21088;27229;0.029619697985433305;7.196;3783.908
San Javier;Tafi Viejo;...;...;...;804;0;3.131;256.787
San Jose de Buena Vista;Leales;...;...;...;498;0;4.931;100.994
San Jose de La Cocha;La Cocha;112;125;123;497;0.11088709677419355;6.87;72.344
San Miguel de Tucuman (Est. Tucuman);Capital;470809;52715;548866;587289;0.007980772149297715;89.78;6541.423
San Pablo (Ingenio San Pablo);Lules;6564;8139;962;14555;0.039270900906213754;10.5;1386.190
San Pedro de Colalao;Trancas;1433;2389;3065;5443;0.09026855457758368;5.572;976.849
San Pedro Martir;Simoca;...;...;...;417;0;5.031;82.886
San Ramon;Leales;...;...;...;254;0;2.2;115.455
Santa Ana;Rio Chico;3926;4723;7871;10704;0.055691584638390884;3.892;2750.257
Santa Cruz;Simoca;228;265;187;457;0.032399547255234855;6.327;72.230
Santa Lucia;Monteros;3994;4929;5704;6997;0.02425412312016411;1.458;4799.040
Santa Rosa de Leales;Leales;1448;1756;1934;3153;0.03798342541436465;1.651;1909.752
Sargento Moya;Monteros;403;536;575;727;0.02593452333306652;2.249;323.255
Simoca;Simoca;6217;7339;8351;12836;0.034343916524410184;3.042;4219.592
Soldado Maldonado;Monteros;447;609;805;101;-0.032185177166774916;2.759;36.607
